Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks,Crop_Name,Price
7,4,45,2,178,59,4,2,2024-03-12,High potential,Tea,400
3,1,34,1,121,37,6,2,2024-03-11,Low potential,Wheat,70
5,2,49,2,255,63,1,2,2024-12-17,Low potential,Maize,40
6,1,1,2,172,40,0,2,2024-06-25,High potential,Jute,100
6,0,50,2,83,100,6,1,2024-05-22,Low potential,Wheat,70
6,3,21,2,186,62,6,2,2024-07-30,Moderate potential,Wheat,70
4,4,22,1,123,48,2,3,2024-06-07,Requires attention,Rice,60
6,3,42,3,7,27,2,0,2024-05-19,High potential,Rice,60
3,1,50,0,84,117,1,2,2024-04-14,Low potential,Maize,40
7,2,44,1,216,17,4,2,2024-01-19,Moderate potential,Tea,400
1,4,17,0,230,10,1,2,2024-12-15,High potential,Maize,40
0,1,28,2,195,66,3,0,2024-08-06,Moderate potential,Spices,70
7,0,31,3,121,120,3,2,2024-08-09,Moderate potential,Spices,70
3,2,19,3,159,122,0,0,2024-08-20,Low potential,Jute,100
4,4,10,0,183,123,4,0,2024-08-23,High potential,Tea,400
1,1,28,3,273,2,1,3,2024-07-02,Low potential,Maize,40
2,2,57,3,84,66,3,0,2024-04-08,Low potential,Spices,70
3,1,51,3,112,114,5,0,2024-04-19,Low potential,Vegetables,80
0,2,2,3,339,57,1,2,2024-08-26,Low potential,Maize,40
4,3,37,3,273,61,1,2,2024-07-06,Requires attention,Maize,40
4,1,56,2,137,67,4,1,2024-09-11,High potential,Tea,400
1,1,45,0,20,17,2,3,2024-10-23,Requires attention,Rice,60
4,3,43,3,255,20,1,1,2024-11-08,Requires attention,Maize,40
6,4,4,3,194,86,0,0,2024-09-30,Requires attention,Jute,100
2,1,30,3,32,68,4,1,2024-06-26,Low potential,Tea,400
0,3,5,3,280,41,6,2,2024-04-24,Low potential,Wheat,70
1,4,1,1,20,63,6,0,2024-10-01,Low potential,Wheat,70
1,3,27,2,36,26,2,3,2024-02-24,Low potential,Rice,60
6,1,46,0,319,64,2,0,2024-08-01,Low potential,Rice,60
2,3,22,3,107,86,4,3,2024-02-24,Requires attention,Tea,400
5,2,28,3,304,76,3,1,2024-11-11,Low potential,Spices,70
6,1,24,3,317,20,6,0,2024-09-24,High potential,Wheat,70
5,4,2,3,49,144,6,2,2024-07-02,High potential,Wheat,70
2,2,27,3,28,107,6,2,2024-09-02,Low potential,Wheat,70
0,2,9,1,209,60,5,2,2024-02-08,Requires attention,Vegetables,80
3,0,20,1,340,32,1,1,2024-10-19,High potential,Maize,40
1,2,44,3,335,93,4,0,2024-02-13,Requires attention,Tea,400
2,4,7,0,269,105,2,2,2024-06-30,Low potential,Rice,60
6,1,53,3,244,28,1,2,2024-08-27,Moderate potential,Maize,40
2,4,0,1,342,28,2,3,2024-09-09,High potential,Rice,60
3,2,52,1,36,12,4,1,2024-11-30,Low potential,Tea,400
6,1,4,3,49,73,3,1,2024-09-28,High potential,Spices,70
4,3,56,2,49,112,3,0,2024-11-14,High potential,Spices,70
3,3,26,3,223,37,0,2,2024-04-24,Moderate potential,Jute,100
6,2,1,3,304,91,3,2,2024-06-30,High potential,Spices,70
6,3,52,1,244,109,6,1,2024-06-08,Moderate potential,Wheat,70
3,3,32,3,276,140,5,2,2024-09-21,Moderate potential,Vegetables,80
6,0,18,3,65,21,0,2,2024-10-26,Requires attention,Jute,100
3,2,38,0,343,8,2,3,2024-06-15,High potential,Rice,60
0,2,4,1,239,35,2,0,2024-07-07,Low potential,Rice,60
7,4,15,0,195,94,1,0,2024-02-06,Requires attention,Maize,40
6,1,24,2,174,101,3,3,2024-10-26,Moderate potential,Spices,70
0,4,47,3,221,79,2,2,2024-09-04,Requires attention,Rice,60
4,2,58,1,279,138,4,1,2024-02-18,Requires attention,Tea,400
4,4,30,0,100,108,5,3,2024-04-12,Moderate potential,Vegetables,80
3,2,24,0,246,96,4,1,2024-12-08,Requires attention,Tea,400
0,2,41,3,292,111,0,1,2024-05-20,Moderate potential,Jute,100
3,4,9,0,311,85,3,0,2024-03-08,Moderate potential,Spices,70
7,3,43,2,8,62,3,0,2024-01-18,Moderate potential,Spices,70
2,4,48,2,28,146,3,1,2024-06-03,Moderate potential,Spices,70
7,0,58,2,88,41,3,0,2024-12-08,Requires attention,Spices,70
4,2,1,2,85,89,0,2,2024-08-29,Requires attention,Jute,100
5,2,4,2,78,27,1,1,2024-01-20,Low potential,Maize,40
5,3,13,3,137,113,4,3,2024-02-04,Requires attention,Tea,400
0,2,20,0,318,76,0,1,2024-08-21,Requires attention,Jute,100
3,1,11,1,121,12,1,3,2024-11-09,Requires attention,Maize,40
1,3,47,2,349,139,4,0,2024-06-01,Low potential,Tea,400
4,3,33,0,197,28,3,3,2024-10-29,Low potential,Spices,70
7,0,60,1,199,80,5,3,2024-07-25,Requires attention,Vegetables,80
5,1,47,3,61,16,6,0,2024-05-07,Low potential,Wheat,70
6,0,49,3,0,31,6,2,2024-03-18,Requires attention,Wheat,70
0,4,24,2,150,0,2,0,2024-07-03,Moderate potential,Rice,60
0,3,0,3,153,135,1,0,2024-04-13,Moderate potential,Maize,40
0,3,7,3,83,50,1,3,2024-06-11,Moderate potential,Maize,40
6,2,3,3,135,62,0,0,2024-02-10,High potential,Jute,100
7,2,50,0,139,142,0,0,2024-05-06,Moderate potential,Jute,100
7,2,14,0,232,16,1,3,2024-05-10,Low potential,Maize,40
1,1,42,3,56,124,4,3,2024-07-22,Requires attention,Tea,400
3,3,56,2,29,27,6,3,2024-10-26,High potential,Wheat,70
1,3,25,3,11,27,6,0,2024-06-07,High potential,Wheat,70
3,4,51,1,318,145,4,2,2024-11-06,Moderate potential,Tea,400
4,2,48,3,41,84,2,2,2024-12-29,Requires attention,Rice,60
3,0,8,2,280,119,2,0,2024-02-14,Moderate potential,Rice,60
1,3,12,0,226,31,1,0,2024-05-05,High potential,Maize,40
5,2,36,2,192,85,6,1,2024-11-07,Moderate potential,Wheat,70
7,4,33,1,255,21,6,2,2024-11-01,Low potential,Wheat,70
7,2,25,3,35,91,1,0,2024-07-19,Low potential,Maize,40
3,3,10,2,312,76,5,3,2024-06-02,Requires attention,Vegetables,80
6,3,46,3,119,50,3,3,2024-06-03,High potential,Spices,70
0,1,36,3,335,87,4,0,2024-01-25,Requires attention,Tea,400
3,4,52,2,154,45,1,2,2024-10-25,Requires attention,Maize,40
6,3,23,1,205,92,0,2,2024-01-02,High potential,Jute,100
0,4,54,0,89,31,0,0,2024-08-02,Moderate potential,Jute,100
1,0,3,3,46,40,4,0,2024-01-11,Low potential,Tea,400
4,3,43,2,117,29,2,0,2024-07-28,High potential,Rice,60
0,1,9,0,108,37,3,1,2024-09-08,Low potential,Spices,70
3,0,9,0,191,96,4,3,2024-07-02,Low potential,Tea,400
7,3,24,3,16,117,0,2,2024-09-26,Low potential,Jute,100
7,3,9,2,321,41,6,1,2024-08-12,Moderate potential,Wheat,70
0,1,32,2,136,27,4,0,2024-07-09,High potential,Tea,400
6,1,13,1,32,47,0,0,2024-08-21,Low potential,Jute,100
7,3,7,3,154,66,0,1,2024-10-23,Moderate potential,Jute,100
7,1,32,2,233,149,2,1,2024-11-15,Moderate potential,Rice,60
4,2,26,1,115,55,4,3,2024-04-05,Requires attention,Tea,400
1,1,1,0,99,98,0,2,2024-02-10,Moderate potential,Jute,100
0,2,42,2,247,93,4,3,2024-07-30,Low potential,Tea,400
4,0,36,2,274,70,3,3,2024-08-10,Low potential,Spices,70
5,2,32,0,188,90,6,3,2024-11-16,Requires attention,Wheat,70
7,1,18,1,93,30,3,2,2024-07-16,High potential,Spices,70
0,2,13,1,331,82,2,3,2024-12-04,Moderate potential,Rice,60
3,4,30,1,121,49,1,1,2024-09-01,Requires attention,Maize,40
6,2,55,0,287,24,5,3,2024-08-02,Requires attention,Vegetables,80
5,3,29,2,192,96,3,1,2024-05-18,High potential,Spices,70
5,2,4,3,249,62,5,0,2024-08-21,Requires attention,Vegetables,80
2,0,41,3,80,50,2,3,2024-10-24,Requires attention,Rice,60
4,3,18,1,251,25,0,3,2024-05-24,Moderate potential,Jute,100
2,2,35,2,19,35,0,2,2024-10-14,Low potential,Jute,100
6,2,57,3,228,126,5,3,2024-02-16,Requires attention,Vegetables,80
2,4,44,2,164,24,2,2,2024-09-09,Low potential,Rice,60
7,3,15,2,171,147,6,0,2024-09-15,Requires attention,Wheat,70
1,0,32,3,273,106,0,3,2024-01-10,High potential,Jute,100
2,3,22,2,32,114,4,1,2024-05-15,Moderate potential,Tea,400
5,0,55,0,298,22,2,1,2024-03-03,High potential,Rice,60
4,4,48,2,143,140,6,2,2024-08-28,High potential,Wheat,70
0,0,31,1,254,104,0,0,2024-03-03,High potential,Jute,100
4,4,5,3,298,49,5,0,2024-04-28,Moderate potential,Vegetables,80
4,0,48,1,224,12,4,0,2024-11-28,Low potential,Tea,400
3,1,49,0,0,65,1,3,2024-04-21,Requires attention,Maize,40
6,1,46,2,348,130,2,3,2024-03-17,Low potential,Rice,60
5,2,60,0,40,131,0,1,2024-01-08,High potential,Jute,100
4,1,29,3,243,61,4,2,2024-02-21,High potential,Tea,400
2,0,24,3,229,91,1,2,2024-04-23,High potential,Maize,40
2,0,43,2,267,127,3,2,2024-05-07,Moderate potential,Spices,70
6,4,23,1,152,72,0,1,2024-06-23,Requires attention,Jute,100
2,3,34,1,349,98,0,1,2024-12-07,Moderate potential,Jute,100
1,4,53,2,8,100,6,1,2024-12-04,Moderate potential,Wheat,70
7,3,44,1,120,16,2,0,2024-05-28,Requires attention,Rice,60
6,4,55,0,276,43,4,2,2024-01-14,Low potential,Tea,400
3,3,38,0,36,119,2,3,2024-11-16,Low potential,Rice,60
6,0,22,0,350,135,1,3,2024-02-11,Moderate potential,Maize,40
0,3,38,2,227,6,2,3,2024-08-16,Low potential,Rice,60
2,0,43,0,23,63,4,1,2024-11-12,Requires attention,Tea,400
0,3,37,3,287,41,6,2,2024-02-28,High potential,Wheat,70
0,2,60,0,200,11,1,2,2024-10-29,Low potential,Maize,40
6,4,28,1,164,76,3,2,2024-02-27,Requires attention,Spices,70
1,1,56,1,9,98,0,0,2024-09-29,High potential,Jute,100
0,0,4,1,11,87,1,1,2024-02-21,Moderate potential,Maize,40
1,0,20,0,330,143,3,0,2024-05-19,Requires attention,Spices,70
3,0,41,1,306,22,0,1,2024-06-19,Requires attention,Jute,100
3,4,53,3,73,64,0,3,2024-09-08,Low potential,Jute,100
3,1,52,2,89,62,3,3,2024-11-29,High potential,Spices,70
0,3,2,3,55,29,3,3,2024-03-14,High potential,Spices,70
1,4,11,0,178,68,0,1,2024-01-12,Moderate potential,Jute,100
4,2,40,3,6,85,6,0,2024-06-07,Low potential,Wheat,70
6,4,9,0,124,102,1,2,2024-08-05,Low potential,Maize,40
3,1,6,1,9,77,3,3,2024-01-31,Low potential,Spices,70
7,1,9,0,321,82,2,1,2024-08-02,Requires attention,Rice,60
5,4,52,1,68,51,6,2,2024-06-04,Moderate potential,Wheat,70
5,3,10,2,19,116,4,1,2024-12-16,Moderate potential,Tea,400
4,3,52,2,134,110,5,0,2024-05-17,High potential,Vegetables,80
0,2,55,3,229,58,0,2,2024-06-12,High potential,Jute,100
5,2,24,2,143,0,1,0,2024-03-23,Requires attention,Maize,40
3,4,56,3,314,80,0,2,2024-12-17,Requires attention,Jute,100
1,3,9,3,9,120,3,1,2024-06-14,Low potential,Spices,70
1,4,40,0,20,19,2,3,2024-06-13,Requires attention,Rice,60
4,4,7,1,91,116,0,2,2024-09-20,Moderate potential,Jute,100
3,3,53,3,77,109,5,2,2024-07-23,High potential,Vegetables,80
7,0,31,3,165,67,5,3,2024-06-14,Requires attention,Vegetables,80
7,0,27,0,120,133,6,3,2024-08-08,Requires attention,Wheat,70
0,1,42,1,84,120,0,1,2024-10-17,Requires attention,Jute,100
4,0,24,0,124,65,6,1,2024-03-21,Moderate potential,Wheat,70
0,3,59,1,12,137,0,2,2024-07-01,Requires attention,Jute,100
3,4,8,2,29,4,1,0,2024-11-01,Low potential,Maize,40
5,2,10,3,209,19,6,1,2024-12-08,High potential,Wheat,70
0,3,45,2,13,48,6,2,2024-12-12,High potential,Wheat,70
2,2,25,1,38,139,2,1,2024-03-02,Low potential,Rice,60
4,1,43,1,250,112,1,3,2024-01-24,Low potential,Maize,40
2,4,29,3,136,143,4,1,2024-09-06,Requires attention,Tea,400
6,0,19,1,124,41,5,2,2024-06-08,Low potential,Vegetables,80
6,4,9,0,337,101,3,0,2024-03-17,Moderate potential,Spices,70
5,3,15,1,202,101,2,1,2024-04-04,Requires attention,Rice,60
5,3,13,0,169,5,5,3,2024-07-08,High potential,Vegetables,80
0,4,11,3,117,15,4,2,2024-06-23,Low potential,Tea,400
6,2,51,0,28,21,6,3,2024-12-16,Requires attention,Wheat,70
6,0,41,0,229,129,1,0,2024-02-23,Requires attention,Maize,40
5,0,18,2,56,36,0,1,2024-05-23,Requires attention,Jute,100
5,1,0,1,173,92,0,2,2024-07-08,Moderate potential,Jute,100
2,3,14,3,241,43,2,2,2024-08-15,Moderate potential,Rice,60
1,4,49,2,265,31,0,2,2024-10-17,High potential,Jute,100
5,1,22,3,322,51,5,0,2024-02-07,Moderate potential,Vegetables,80
7,0,8,3,12,29,5,3,2024-07-07,Moderate potential,Vegetables,80
7,1,44,1,102,117,6,2,2024-09-16,Requires attention,Wheat,70
0,4,41,1,221,56,6,1,2024-07-27,Requires attention,Wheat,70
5,1,52,3,19,87,0,2,2024-03-28,Low potential,Jute,100
2,2,14,2,137,99,2,1,2024-03-16,Moderate potential,Rice,60
0,2,28,0,17,38,0,3,2024-09-18,Moderate potential,Jute,100
4,0,18,1,325,32,1,1,2024-10-26,Moderate potential,Maize,40
1,0,23,1,47,29,1,1,2024-08-16,Requires attention,Maize,40
2,4,26,1,20,124,6,0,2024-01-10,Requires attention,Wheat,70
5,3,51,0,81,29,6,0,2024-03-30,Moderate potential,Wheat,70
0,2,2,3,168,106,3,3,2024-05-04,Low potential,Spices,70
0,0,46,1,133,74,3,2,2024-01-04,Low potential,Spices,70
5,2,48,1,276,35,5,2,2024-03-29,High potential,Vegetables,80
2,4,43,3,187,15,3,0,2024-09-16,Requires attention,Spices,70
4,0,36,1,171,45,0,1,2024-02-09,Low potential,Jute,100
5,0,52,3,174,81,2,0,2024-04-14,Moderate potential,Rice,60
6,4,38,3,90,42,6,0,2024-01-30,Requires attention,Wheat,70
3,4,33,3,7,75,6,3,2024-10-22,Requires attention,Wheat,70
5,4,36,3,239,118,6,1,2024-01-23,High potential,Wheat,70
1,3,44,1,151,80,5,2,2024-01-04,High potential,Vegetables,80
4,0,60,0,88,64,6,2,2024-08-06,High potential,Wheat,70
3,2,9,0,127,57,3,2,2024-03-25,High potential,Spices,70
5,4,7,2,82,114,0,3,2024-08-27,Requires attention,Jute,100
1,4,29,1,50,10,3,1,2024-09-04,Moderate potential,Spices,70
6,0,28,2,193,119,0,1,2024-03-23,Requires attention,Jute,100
6,3,16,2,336,10,0,3,2024-10-07,Requires attention,Jute,100
7,0,2,3,82,124,2,3,2024-06-17,High potential,Rice,60
2,0,33,0,4,146,1,0,2024-01-06,Low potential,Maize,40
4,2,9,3,130,15,5,3,2024-10-09,Low potential,Vegetables,80
3,3,14,1,294,10,0,3,2024-12-29,High potential,Jute,100
4,0,54,2,171,49,5,0,2024-07-03,Requires attention,Vegetables,80
4,4,25,1,310,38,4,2,2024-09-16,Moderate potential,Tea,400
5,3,56,3,260,26,6,2,2024-05-12,Requires attention,Wheat,70
0,4,47,0,218,69,3,2,2024-09-07,Requires attention,Spices,70
4,3,19,0,54,80,3,1,2024-05-10,Low potential,Spices,70
6,1,18,3,6,34,6,0,2024-02-04,High potential,Wheat,70
5,3,55,2,182,4,2,1,2024-09-25,Low potential,Rice,60
2,3,22,1,135,102,4,0,2024-09-06,Requires attention,Tea,400
7,1,4,1,10,91,5,1,2024-01-24,Low potential,Vegetables,80
2,2,17,0,6,66,4,2,2024-06-02,Moderate potential,Tea,400
6,1,49,3,214,4,3,1,2024-09-05,Moderate potential,Spices,70
0,2,3,3,180,96,5,1,2024-10-03,Low potential,Vegetables,80
6,0,34,0,165,61,2,2,2024-08-29,High potential,Rice,60
2,1,44,2,214,56,4,0,2024-06-28,Requires attention,Tea,400
7,2,29,3,335,43,1,2,2024-07-26,Low potential,Maize,40
2,3,44,3,5,136,3,2,2024-04-01,Low potential,Spices,70
3,2,31,0,224,113,3,1,2024-05-07,Low potential,Spices,70
4,2,26,1,29,12,4,3,2024-01-24,Moderate potential,Tea,400
4,4,30,1,153,108,1,3,2024-08-04,Requires attention,Maize,40
6,4,4,1,251,53,5,0,2024-05-01,High potential,Vegetables,80
5,1,57,1,189,129,3,2,2024-04-27,Moderate potential,Spices,70
2,4,47,3,282,65,6,2,2024-07-16,High potential,Wheat,70
1,1,43,2,44,121,0,2,2024-03-14,Requires attention,Jute,100
6,1,39,0,31,71,2,3,2024-08-21,Requires attention,Rice,60
3,4,46,1,91,147,2,3,2024-07-28,Requires attention,Rice,60
3,0,52,0,4,150,4,3,2024-08-18,Low potential,Tea,400
4,1,60,3,120,72,1,0,2024-10-27,Low potential,Maize,40
2,1,41,0,51,125,3,0,2024-10-31,High potential,Spices,70
1,2,18,3,307,13,3,3,2024-10-08,Low potential,Spices,70
6,0,53,3,43,111,1,0,2024-05-04,Low potential,Maize,40
2,1,49,1,200,56,2,0,2024-04-23,Low potential,Rice,60
6,4,47,3,77,127,3,1,2024-08-22,Moderate potential,Spices,70
1,1,6,1,104,62,1,1,2024-03-02,Moderate potential,Maize,40
7,2,46,3,204,24,0,3,2024-03-20,Moderate potential,Jute,100
3,2,60,0,241,35,0,0,2024-07-11,Requires attention,Jute,100
3,4,48,2,97,36,2,3,2024-10-06,Moderate potential,Rice,60
0,3,1,0,270,87,5,1,2024-12-29,Moderate potential,Vegetables,80
0,3,28,0,136,129,1,0,2024-06-06,Low potential,Maize,40
6,2,53,0,160,33,4,3,2024-12-29,Moderate potential,Tea,400
7,3,36,0,52,39,2,2,2024-07-02,Requires attention,Rice,60
0,1,57,2,29,12,1,3,2024-04-20,High potential,Maize,40
1,0,51,2,287,80,3,2,2024-01-03,Requires attention,Spices,70
5,0,36,1,286,7,3,2,2024-12-21,High potential,Spices,70
0,0,36,0,245,134,6,0,2024-09-03,Low potential,Wheat,70
4,0,4,3,220,108,5,1,2024-04-16,Moderate potential,Vegetables,80
1,2,59,2,323,150,1,0,2024-07-04,Requires attention,Maize,40
3,0,35,0,116,136,2,3,2024-10-05,High potential,Rice,60
1,3,3,0,227,81,0,2,2024-12-06,High potential,Jute,100
6,2,16,1,110,79,2,2,2024-01-05,Low potential,Rice,60
2,3,53,2,163,67,1,2,2024-04-16,High potential,Maize,40
7,0,39,0,242,104,0,0,2024-08-30,Low potential,Jute,100
7,2,39,3,316,62,5,2,2024-03-27,Low potential,Vegetables,80
5,4,15,0,85,2,3,3,2024-09-08,Moderate potential,Spices,70
1,1,20,0,235,5,5,2,2024-03-11,Low potential,Vegetables,80
1,4,36,1,3,32,5,0,2024-02-21,Low potential,Vegetables,80
4,4,1,2,58,143,6,3,2024-04-28,High potential,Wheat,70
7,2,12,0,156,108,4,1,2024-03-02,Moderate potential,Tea,400
4,3,21,3,319,33,6,0,2024-11-30,Moderate potential,Wheat,70
3,4,51,2,14,76,5,2,2024-03-01,Requires attention,Vegetables,80
4,2,55,0,103,137,5,3,2024-08-08,Low potential,Vegetables,80
1,4,32,2,119,31,6,1,2024-06-24,Moderate potential,Wheat,70
4,3,0,0,222,38,1,2,2024-02-10,Moderate potential,Maize,40
4,4,35,2,185,10,5,0,2024-09-20,High potential,Vegetables,80
0,4,10,1,268,19,2,2,2024-08-14,High potential,Rice,60
5,0,60,2,65,6,0,2,2024-07-26,Low potential,Jute,100
7,0,16,2,175,119,5,3,2024-11-08,Moderate potential,Vegetables,80
3,1,22,3,305,135,1,3,2024-04-17,Requires attention,Maize,40
4,0,35,1,228,41,1,0,2024-10-25,Low potential,Maize,40
3,2,30,2,123,68,6,0,2024-04-28,Moderate potential,Wheat,70
4,2,46,3,289,50,0,1,2024-03-24,Moderate potential,Jute,100
3,1,33,1,343,22,4,1,2024-08-12,Requires attention,Tea,400
2,0,52,0,254,81,1,1,2024-02-22,Moderate potential,Maize,40
7,3,32,1,87,12,6,2,2024-03-17,Requires attention,Wheat,70
5,2,23,0,196,12,1,3,2024-09-22,Moderate potential,Maize,40
0,4,15,2,273,107,4,0,2024-02-18,Low potential,Tea,400
4,2,7,0,97,105,1,2,2024-12-19,Moderate potential,Maize,40
3,0,37,2,174,47,3,1,2024-07-19,Requires attention,Spices,70
0,2,43,2,211,26,2,3,2024-07-05,Requires attention,Rice,60
6,0,56,2,276,13,0,3,2024-08-18,High potential,Jute,100
5,1,18,0,133,2,2,1,2024-03-26,Requires attention,Rice,60
3,3,59,1,225,24,4,1,2024-11-04,Low potential,Tea,400
7,3,59,2,227,93,2,0,2024-04-07,High potential,Rice,60
7,0,52,1,125,127,4,0,2024-07-31,Low potential,Tea,400
0,2,11,0,210,141,3,0,2024-07-03,Low potential,Spices,70
4,1,23,1,244,108,2,1,2024-11-25,Low potential,Rice,60
2,1,16,3,320,93,6,3,2024-02-08,High potential,Wheat,70
2,1,2,2,139,102,6,1,2024-08-08,Low potential,Wheat,70
0,0,42,1,26,32,0,0,2024-06-29,Moderate potential,Jute,100
6,0,54,3,7,67,3,0,2024-03-25,Low potential,Spices,70
7,1,58,2,25,94,1,1,2024-08-17,Requires attention,Maize,40
0,3,22,3,155,33,4,1,2024-12-20,Low potential,Tea,400
3,1,37,1,251,51,3,2,2024-10-29,Requires attention,Spices,70
3,3,44,2,237,97,2,0,2024-11-30,Low potential,Rice,60
7,3,35,1,92,19,6,0,2024-01-20,Moderate potential,Wheat,70
6,3,46,2,318,68,0,0,2024-07-28,Requires attention,Jute,100
3,2,49,1,128,1,1,3,2024-04-01,Low potential,Maize,40
4,3,6,1,186,74,0,3,2024-06-07,High potential,Jute,100
5,4,59,0,265,35,2,0,2024-07-08,Requires attention,Rice,60
0,2,56,0,169,97,2,2,2024-11-19,Requires attention,Rice,60
2,4,43,1,134,76,0,1,2024-10-29,Moderate potential,Jute,100
0,2,8,1,89,84,4,2,2024-12-15,Moderate potential,Tea,400
1,4,18,0,121,48,0,0,2024-12-20,Low potential,Jute,100
0,2,46,0,135,77,6,2,2024-01-26,Moderate potential,Wheat,70
5,1,6,1,253,42,3,3,2024-04-18,Low potential,Spices,70
7,3,21,1,278,127,0,0,2024-08-04,Moderate potential,Jute,100
7,4,60,0,154,12,6,0,2024-08-23,Low potential,Wheat,70
4,2,48,0,213,79,1,2,2024-08-13,Requires attention,Maize,40
2,1,21,2,341,138,6,1,2024-12-29,Moderate potential,Wheat,70
3,2,16,2,126,66,5,0,2024-09-29,High potential,Vegetables,80
5,1,8,2,120,128,4,0,2024-09-09,Requires attention,Tea,400
3,3,42,2,237,9,5,0,2024-09-23,Moderate potential,Vegetables,80
2,3,0,1,184,60,4,1,2024-05-12,High potential,Tea,400
7,1,3,2,301,97,2,0,2024-05-11,Requires attention,Rice,60
4,2,48,0,27,130,4,3,2024-01-03,Moderate potential,Tea,400
2,1,49,2,213,73,5,0,2024-01-12,Low potential,Vegetables,80
2,2,16,0,290,78,6,1,2024-06-11,High potential,Wheat,70
5,4,25,2,331,12,4,0,2024-03-30,Moderate potential,Tea,400
0,2,50,0,16,70,1,0,2024-11-20,Low potential,Maize,40
6,4,39,2,89,113,4,3,2024-08-01,High potential,Tea,400
7,0,48,1,189,125,2,1,2024-07-10,Requires attention,Rice,60
4,4,25,1,188,121,0,0,2024-06-06,Moderate potential,Jute,100
2,1,34,0,130,58,6,0,2024-02-13,Requires attention,Wheat,70
5,2,60,2,175,113,6,3,2024-03-27,High potential,Wheat,70
6,3,49,1,296,9,0,2,2024-04-19,Moderate potential,Jute,100
4,0,52,3,40,120,4,1,2024-04-15,Low potential,Tea,400
3,4,30,2,12,90,4,1,2024-01-04,High potential,Tea,400
0,2,2,2,105,83,4,3,2024-02-16,Requires attention,Tea,400
3,0,43,3,160,18,0,0,2024-07-03,High potential,Jute,100
4,0,59,2,345,9,5,0,2024-10-23,Requires attention,Vegetables,80
2,0,3,3,181,124,4,1,2024-08-25,High potential,Tea,400
5,0,15,0,221,128,2,2,2024-08-03,Moderate potential,Rice,60
0,2,58,3,129,53,4,0,2024-11-29,High potential,Tea,400
5,2,29,3,307,71,6,2,2024-08-05,Low potential,Wheat,70
0,0,57,0,193,132,1,2,2024-12-25,High potential,Maize,40
1,2,53,2,210,33,3,3,2024-04-04,High potential,Spices,70
0,1,51,0,341,87,4,3,2024-08-14,Requires attention,Tea,400
5,1,33,0,204,87,5,0,2024-01-10,Requires attention,Vegetables,80
7,2,21,1,39,4,4,2,2024-02-19,Requires attention,Tea,400
1,0,60,3,16,125,0,3,2024-03-15,High potential,Jute,100
4,4,42,2,229,30,1,2,2024-02-04,Low potential,Maize,40
4,3,9,2,186,36,4,3,2024-11-30,Moderate potential,Tea,400
3,2,15,0,27,18,5,1,2024-08-23,Low potential,Vegetables,80
3,2,31,0,339,35,5,1,2024-02-01,Requires attention,Vegetables,80
7,4,0,2,13,143,1,2,2024-04-27,Low potential,Maize,40
0,3,4,2,141,26,1,1,2024-04-04,Moderate potential,Maize,40
5,0,14,0,322,30,3,3,2024-06-09,Moderate potential,Spices,70
0,1,28,2,239,47,0,1,2024-05-24,High potential,Jute,100
0,0,47,0,250,41,0,0,2024-05-19,High potential,Jute,100
3,0,14,1,119,114,2,0,2024-09-20,High potential,Rice,60
0,4,26,3,312,76,6,3,2024-02-11,Moderate potential,Wheat,70
7,2,57,1,175,117,4,2,2024-04-16,Low potential,Tea,400
2,3,24,3,86,129,2,3,2024-05-22,Moderate potential,Rice,60
0,3,45,3,234,27,5,0,2024-05-22,Requires attention,Vegetables,80
0,0,4,0,266,71,0,1,2024-04-29,Moderate potential,Jute,100
5,3,48,3,2,9,6,2,2024-04-30,High potential,Wheat,70
1,0,27,0,232,20,0,2,2024-01-01,Requires attention,Jute,100
3,3,58,0,40,3,2,3,2024-05-07,High potential,Rice,60
1,3,29,1,151,130,1,2,2024-06-25,Moderate potential,Maize,40
1,4,3,1,253,2,2,0,2024-05-30,Moderate potential,Rice,60
3,0,4,1,14,141,5,0,2024-02-22,Moderate potential,Vegetables,80
0,1,52,3,162,62,0,0,2024-06-05,High potential,Jute,100
6,3,58,3,90,97,1,0,2024-04-12,Moderate potential,Maize,40
1,2,9,3,348,66,4,3,2024-04-18,Requires attention,Tea,400
3,1,44,3,266,46,4,0,2024-11-11,Low potential,Tea,400
2,0,19,1,44,14,5,1,2024-05-04,High potential,Vegetables,80
2,1,10,0,106,117,3,0,2024-07-04,High potential,Spices,70
3,2,23,1,159,140,4,2,2024-01-04,High potential,Tea,400
2,3,13,2,274,40,6,3,2024-12-09,Moderate potential,Wheat,70
1,1,9,3,91,36,2,0,2024-05-26,Moderate potential,Rice,60
3,1,13,3,87,111,1,3,2024-07-05,Requires attention,Maize,40
1,2,18,3,86,5,2,3,2024-01-07,Moderate potential,Rice,60
6,2,0,3,32,46,0,1,2024-03-10,Requires attention,Jute,100
0,4,49,3,127,149,5,2,2024-10-07,Moderate potential,Vegetables,80
3,4,40,2,275,111,6,1,2024-04-26,Requires attention,Wheat,70
7,0,33,2,338,5,3,1,2024-09-30,High potential,Spices,70
2,1,39,3,186,50,5,2,2024-07-01,Requires attention,Vegetables,80
0,1,7,3,253,87,6,2,2024-10-22,Low potential,Wheat,70
7,0,47,1,56,80,5,1,2024-09-03,Low potential,Vegetables,80
